season,season_game,phase,new_team,config,strategy,candidate,rps
2022/23,1,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.0740643755434207
2022/23,2,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.11785425187445644
2022/23,3,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.16689240614140385
2022/23,4,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.15124766034789472
2022/23,5,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.2555218106533572
2022/23,6,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.20363163652462557
2022/23,7,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.1848577138448229
2022/23,8,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.23135791309865253
2022/23,9,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.1351525482687988
2022/23,10,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.23779808989427834
2022/23,11,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.20461406019770131
2022/23,12,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.1486317344608232
2022/23,13,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.21773816463954937
2022/23,14,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.13037266721790583
2022/23,15,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.22942919618319063
2022/23,16,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.5686447552367513
2022/23,17,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.07280283900900848
2022/23,18,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.1364447518926149
2022/23,19,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.12847294533564693
2022/23,20,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.17272854387790965
2022/23,21,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.43494771339469623
2022/23,22,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.3707614762139051
2022/23,23,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.2447858710920854
2022/23,24,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.21923463617258995
2022/23,25,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.48877488245556644
2022/23,26,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.02861093744404607
2022/23,27,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.14421155896139395
2022/23,28,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.078451653894273
2022/23,29,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.3392032841207459
2022/23,30,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.15185410855093512
2022/23,31,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.10277789652617944
2022/23,32,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.06894305335792476
2022/23,33,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.15773584111763866
2022/23,34,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.29437495235182554
2022/23,35,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.20147417217520613
2022/23,36,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.29780218088209887
2022/23,37,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.15361475126622137
2022/23,38,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.319471025085159
2022/23,39,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.535989898737383
2022/23,40,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.24061612755064365
2022/23,41,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.4145614245208541
2022/23,42,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.23832190376054935
2022/23,43,matchdays_1_5,True,level_all10,updating_prior,level_all10:updating_prior,0.3104410628061509
2022/23,44,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.25222259257617513
2022/23,45,matchdays_1_5,False,level_all10,updating_prior,level_all10:updating_prior,0.1928500945150897
2022/23,46,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.5404502998009152
2022/23,47,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.21781849752028884
2022/23,48,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.24178253461693647
2022/23,49,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.14779930729184307
2022/23,50,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.33103113223512176
2022/23,51,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1817035615925894
2022/23,52,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.4252640610157291
2022/23,53,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.18575753918394539
2022/23,54,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2594596784985261
2022/23,55,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.134181026079205
2022/23,56,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.7024580396941884
2022/23,57,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.4576791511504008
2022/23,58,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.15509828442509854
2022/23,59,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.7516765665851313
2022/23,60,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.09922368566518011
2022/23,61,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.18156140237647217
2022/23,62,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.19513969681883925
2022/23,63,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.150858762100173
2022/23,64,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.06411301509367763
2022/23,65,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.16500701469999465
2022/23,66,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.3903440915743532
2022/23,67,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.020177089856351544
2022/23,68,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.20502313952681703
2022/23,69,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.38216362178614927
2022/23,70,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.25698580521790837
2022/23,71,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.12969182654660272
2022/23,72,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.15363180466177476
2022/23,73,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.5089404435816238
2022/23,74,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.14287354046159295
2022/23,75,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.03360781724176218
2022/23,76,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.12968461181978228
2022/23,77,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.36578162114180035
2022/23,78,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.11882592614451379
2022/23,79,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.16172289102988777
2022/23,80,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.3339274488676552
2022/23,81,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.08126801481857136
2022/23,82,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.19413192830172188
2022/23,83,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.17150494332766372
2022/23,84,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1374977461677195
2022/23,85,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.162943244617137
2022/23,86,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1832655973266037
2022/23,87,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2761902177930352
2022/23,88,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.08039058378626908
2022/23,89,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2246925487751174
2022/23,90,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.08522457244513713
2022/23,91,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.10406453444561896
2022/23,92,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.24240401344960089
2022/23,93,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1792688127508372
2022/23,94,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2362723967873379
2022/23,95,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.12544092518587907
2022/23,96,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.15488005317347997
2022/23,97,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.3750256638864956
2022/23,98,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.45416694136818064
2022/23,99,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.1096598501734558
2022/23,100,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.20176100365802757
2022/23,101,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2397915895433642
2022/23,102,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.10277464591658805
2022/23,103,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.15013887095689799
2022/23,104,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1463432519133405
2022/23,105,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1318191903013811
2022/23,106,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.26020018325169736
2022/23,107,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.09550868119250785
2022/23,108,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1436066399031311
2022/23,109,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.06938898209270805
2022/23,110,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.4030146304222655
2022/23,111,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.06474033910554061
2022/23,112,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.17763278533721577
2022/23,113,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.07963251295880329
2022/23,114,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.051890586676985324
2022/23,115,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.08156216593559694
2022/23,116,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.22709758020387713
2022/23,117,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.18531342470259393
2022/23,118,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.3235421396354792
2022/23,119,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.4513142471720737
2022/23,120,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.025787316803006652
2022/23,121,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.3349601188038097
2022/23,122,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.26577823877541296
2022/23,123,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.10913877278177024
2022/23,124,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.07148896675357784
2022/23,125,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.6019050731928611
2022/23,126,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.20168749689556198
2022/23,127,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.21727884122377622
2022/23,128,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2603427028294588
2022/23,129,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.19729163043116643
2022/23,130,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.2874463562226276
2022/23,131,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.1514768911071761
2022/23,132,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.0299705082486056
2022/23,133,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.20115575456673912
2022/23,134,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.12835943634427202
2022/23,135,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.17627440586102155
2022/23,136,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.1712398957257392
2022/23,137,matchdays_6_17,False,level_all10,updating_prior,level_all10:updating_prior,0.24988836743245096
2022/23,138,matchdays_6_17,True,level_all10,updating_prior,level_all10:updating_prior,0.24328991443564266
